Day,Open,High,Low,Close,Adj Close,Volume
1924,199.100006,199.149994,195.660004,198.089996,164.698257,3500600
1925,198.899994,200.600006,198.289993,199.860001,166.169815,2575600
1926,199.860001,202.289993,199.720001,201.949997,167.907532,2887200
1927,202.330002,202.479996,199.759995,200.800003,166.951385,2395600
1928,200.929993,202.399994,199.320007,199.350006,165.74585,2762500
1929,200.600006,203.320007,197.820007,200.720001,166.884888,6494900
1930,200.220001,200.669998,198.070007,198.850006,165.330109,6460200
1931,198.429993,200,197.899994,199.050003,165.496445,5892900
1932,199.050003,203.949997,198.100006,203.729996,169.387482,7851000
1933,203.539993,204.899994,202,204.080002,169.678482,7147100
1934,203.399994,208.440002,201.5,208.110001,173.029144,8025700
1935,208.339996,213.169998,207.600006,211.880005,176.163666,9039400
1936,210.899994,214.220001,210.399994,213.990005,177.917984,6618900
1937,210.850006,215.130005,210.850006,213.589996,177.585449,5846600
1938,212.199997,214.089996,210.850006,213.229996,177.286087,5306300
1939,213.75,214.809998,209.100006,209.679993,174.334503,6423200
1940,209.080002,211.440002,208.839996,210.289993,175.134064,5333700
1941,211.089996,213.25,209.600006,212.970001,177.365967,4980700
1942,212.820007,213.419998,210.649994,212.639999,177.091171,6293400
1943,213.509995,220.169998,213.029999,220.100006,183.304001,6386800
1944,219.830002,220.509995,212.509995,213.070007,177.449295,7853800
1945,214.559998,214.899994,210.600006,213.5,177.807388,7458200
1946,213.899994,215.080002,210.130005,211.039993,175.758652,5890700
1947,211.080002,212.309998,208.369995,208.779999,173.87645,6001000
1948,208.300003,212.75,207.289993,212.160004,176.691437,7235100
1949,213.440002,213.899994,209.729996,212,176.558105,5734500
1950,211,213.899994,211,213.429993,177.749084,3527000
1951,213.300003,213.720001,211.5,212.550003,177.01619,2995700
1952,213.289993,215.860001,212.699997,214.649994,178.765152,3803100
1953,215.029999,215.850006,213.100006,213.550003,177.84906,3621700
1954,212.089996,215.210007,209.809998,213.899994,178.140518,5410500
1955,215.770004,219.259995,210.580002,213.279999,177.624161,9109300
1956,213.75,214,209.869995,211.130005,175.833633,5384400
1957,211.979996,213.300003,210.470001,212.529999,176.999557,4022000
1958,213.699997,219.100006,212.789993,217.399994,181.055359,7696400
1959,217.940002,218.839996,216.410004,216.820007,180.572357,3627200
1960,215.960007,217.5,215.020004,216.919998,180.655624,3118500
1961,218.330002,221.899994,215.970001,220.940002,184.003555,6225500
1962,219.25,221.5,218.160004,220.149994,183.345657,5225500
1963,221,222.75,218,218.970001,182.362976,4273400
1964,219.160004,219.800003,215.550003,216.5,180.305878,5507400
1965,217.990005,218.369995,212.660004,214,178.223831,5552700
1966,209.75,210.399994,194.649994,196,163.233032,18817600
1967,200.399994,203.850006,197.789993,201.75,168.02179,15940000
1968,197.119995,202.699997,194.080002,199.660004,166.281113,14141300
1969,198.199997,200.919998,195.589996,195.669998,162.958176,9842200
1970,193.550003,197.490005,189.850006,190,158.236115,13391800
1971,193.899994,198.199997,193.699997,197.369995,164.373993,10796300
1972,197.479996,199,195.5,195.589996,162.891571,8459500
1973,198.029999,202.020004,198,199.940002,166.514343,10789400
1974,202.949997,202.990005,198.860001,201.699997,167.980133,7676900
1975,200,202.889999,198.860001,202.600006,168.729645,9623200
1976,204.960007,208.559998,198.520004,199.029999,165.75647,31973100
1977,200,202.160004,197.539993,200.149994,166.689194,20394300
1978,200,202.369995,199.5,200.889999,167.305466,9741600
1979,200.789993,201.050003,198.270004,199,165.731491,10875200
1980,201.320007,202.5,200.440002,202.440002,168.596436,8186200
1981,202.490005,204.429993,202,204,169.895615,6641900
1982,205.339996,211.509995,204.160004,210.949997,175.683731,10934100
1983,211.699997,211.75,209.289993,210.080002,174.959106,8016100
1984,210.059998,211.889999,209.710007,211.889999,176.466553,5106800
1985,212.009995,212.220001,209.300003,211.729996,176.333298,6525100
1986,211.009995,211.729996,209.740005,209.869995,174.784286,4806100
1987,208.210007,208.669998,206.190002,206.759995,172.194168,7991200
1988,208.089996,208.889999,206.300003,207.199997,172.560608,6380800
1989,207.440002,209.029999,204.699997,206.630005,172.085892,5177000
1990,207.669998,207.679993,203.289993,205.649994,171.26973,5797000
1991,207,209.75,206.470001,209.75,174.684357,5015300
1992,209.449997,209.949997,208.210007,208.789993,173.884827,4141600
